#{"t_start": 1584991326.8030136, "env_id": "RoboschoolPong-v1"}
r,l,t,score_board
-142.26189,32000,71.721593,"{'left': {'oppo_miss_start': 149, 'oppo_slow_ball': 0, 'oppo_miss_catch': 38, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 152, 'oppo_slow_ball': 1, 'oppo_miss_catch': 28, 'oppo_double_hit': 0}}"
-143.253886,33000,73.90135,"{'left': {'oppo_miss_start': 151, 'oppo_slow_ball': 0, 'oppo_miss_catch': 38, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 153, 'oppo_slow_ball': 1, 'oppo_miss_catch': 28, 'oppo_double_hit': 0}}"
-148.253886,34000,76.160616,"{'left': {'oppo_miss_start': 157, 'oppo_slow_ball': 1, 'oppo_miss_catch': 38, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 159, 'oppo_slow_ball': 1, 'oppo_miss_catch': 28, 'oppo_double_hit': 0}}"
-152.232948,35000,78.348474,"{'left': {'oppo_miss_start': 162, 'oppo_slow_ball': 1, 'oppo_miss_catch': 40, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 165, 'oppo_slow_ball': 1, 'oppo_miss_catch': 28, 'oppo_double_hit': 0}}"
-156.197516,36000,80.504621,"{'left': {'oppo_miss_start': 168, 'oppo_slow_ball': 1, 'oppo_miss_catch': 42, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 170, 'oppo_slow_ball': 1, 'oppo_miss_catch': 29, 'oppo_double_hit': 0}}"
-164.186785,37000,82.705056,"{'left': {'oppo_miss_start': 174, 'oppo_slow_ball': 1, 'oppo_miss_catch': 42, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 176, 'oppo_slow_ball': 1, 'oppo_miss_catch': 31, 'oppo_double_hit': 0}}"
-171.18553,38000,84.850485,"{'left': {'oppo_miss_start': 181, 'oppo_slow_ball': 1, 'oppo_miss_catch': 43, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 183, 'oppo_slow_ball': 1, 'oppo_miss_catch': 32, 'oppo_double_hit': 0}}"
-172.18553,39000,87.050271,"{'left': {'oppo_miss_start': 182, 'oppo_slow_ball': 1, 'oppo_miss_catch': 43, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 183, 'oppo_slow_ball': 2, 'oppo_miss_catch': 32, 'oppo_double_hit': 0}}"
-182.18553,40000,89.317737,"{'left': {'oppo_miss_start': 190, 'oppo_slow_ball': 1, 'oppo_miss_catch': 43, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 192, 'oppo_slow_ball': 2, 'oppo_miss_catch': 33, 'oppo_double_hit': 0}}"
-186.111013,41000,91.635129,"{'left': {'oppo_miss_start': 195, 'oppo_slow_ball': 1, 'oppo_miss_catch': 45, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 197, 'oppo_slow_ball': 2, 'oppo_miss_catch': 34, 'oppo_double_hit': 0}}"
-188.08813,42000,93.812975,"{'left': {'oppo_miss_start': 197, 'oppo_slow_ball': 1, 'oppo_miss_catch': 46, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 198, 'oppo_slow_ball': 2, 'oppo_miss_catch': 35, 'oppo_double_hit': 1}}"
-195.037518,43000,96.052384,"{'left': {'oppo_miss_start': 204, 'oppo_slow_ball': 1, 'oppo_miss_catch': 48, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 206, 'oppo_slow_ball': 2, 'oppo_miss_catch': 36, 'oppo_double_hit': 1}}"
-198.988744,44000,98.230596,"{'left': {'oppo_miss_start': 209, 'oppo_slow_ball': 1, 'oppo_miss_catch': 49, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 210, 'oppo_slow_ball': 2, 'oppo_miss_catch': 37, 'oppo_double_hit': 1}}"
-202.942262,45000,100.410506,"{'left': {'oppo_miss_start': 215, 'oppo_slow_ball': 1, 'oppo_miss_catch': 52, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 217, 'oppo_slow_ball': 2, 'oppo_miss_catch': 37, 'oppo_double_hit': 1}}"
-205.89822,46000,102.590366,"{'left': {'oppo_miss_start': 219, 'oppo_slow_ball': 1, 'oppo_miss_catch': 54, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 222, 'oppo_slow_ball': 2, 'oppo_miss_catch': 37, 'oppo_double_hit': 1}}"
-214.89822,47000,104.783075,"{'left': {'oppo_miss_start': 227, 'oppo_slow_ball': 1, 'oppo_miss_catch': 54, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 229, 'oppo_slow_ball': 2, 'oppo_miss_catch': 39, 'oppo_double_hit': 1}}"
-214.894647,48000,106.96369,"{'left': {'oppo_miss_start': 227, 'oppo_slow_ball': 1, 'oppo_miss_catch': 55, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 230, 'oppo_slow_ball': 2, 'oppo_miss_catch': 39, 'oppo_double_hit': 1}}"
-220.890043,49000,109.205482,"{'left': {'oppo_miss_start': 233, 'oppo_slow_ball': 1, 'oppo_miss_catch': 55, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 236, 'oppo_slow_ball': 2, 'oppo_miss_catch': 39, 'oppo_double_hit': 1}}"
-223.884718,50000,111.364844,"{'left': {'oppo_miss_start': 235, 'oppo_slow_ball': 1, 'oppo_miss_catch': 56, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 238, 'oppo_slow_ball': 2, 'oppo_miss_catch': 41, 'oppo_double_hit': 1}}"
-225.881317,51000,113.552486,"{'left': {'oppo_miss_start': 238, 'oppo_slow_ball': 1, 'oppo_miss_catch': 57, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 241, 'oppo_slow_ball': 2, 'oppo_miss_catch': 41, 'oppo_double_hit': 1}}"
-231.838948,52000,115.730949,"{'left': {'oppo_miss_start': 244, 'oppo_slow_ball': 1, 'oppo_miss_catch': 58, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 247, 'oppo_slow_ball': 2, 'oppo_miss_catch': 42, 'oppo_double_hit': 1}}"
-239.838948,53000,117.997325,"{'left': {'oppo_miss_start': 251, 'oppo_slow_ball': 1, 'oppo_miss_catch': 59, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 255, 'oppo_slow_ball': 2, 'oppo_miss_catch': 43, 'oppo_double_hit': 1}}"
-239.838947,54000,120.164479,"{'left': {'oppo_miss_start': 252, 'oppo_slow_ball': 1, 'oppo_miss_catch': 59, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 255, 'oppo_slow_ball': 2, 'oppo_miss_catch': 43, 'oppo_double_hit': 1}}"
-246.797872,55000,122.37663,"{'left': {'oppo_miss_start': 259, 'oppo_slow_ball': 1, 'oppo_miss_catch': 60, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 262, 'oppo_slow_ball': 2, 'oppo_miss_catch': 44, 'oppo_double_hit': 1}}"
-248.74839,56000,124.575766,"{'left': {'oppo_miss_start': 263, 'oppo_slow_ball': 1, 'oppo_miss_catch': 62, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 266, 'oppo_slow_ball': 2, 'oppo_miss_catch': 44, 'oppo_double_hit': 1}}"
-258.74839,57000,126.819977,"{'left': {'oppo_miss_start': 273, 'oppo_slow_ball': 1, 'oppo_miss_catch': 62, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 275, 'oppo_slow_ball': 2, 'oppo_miss_catch': 45, 'oppo_double_hit': 1}}"
-266.745509,58000,129.088202,"{'left': {'oppo_miss_start': 280, 'oppo_slow_ball': 1, 'oppo_miss_catch': 62, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 282, 'oppo_slow_ball': 2, 'oppo_miss_catch': 46, 'oppo_double_hit': 1}}"
-265.745509,59000,131.233187,"{'left': {'oppo_miss_start': 280, 'oppo_slow_ball': 1, 'oppo_miss_catch': 63, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 282, 'oppo_slow_ball': 2, 'oppo_miss_catch': 46, 'oppo_double_hit': 1}}"
-263.706388,60000,133.466969,"{'left': {'oppo_miss_start': 280, 'oppo_slow_ball': 2, 'oppo_miss_catch': 64, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 282, 'oppo_slow_ball': 2, 'oppo_miss_catch': 46, 'oppo_double_hit': 1}}"
-266.666282,61000,135.673797,"{'left': {'oppo_miss_start': 285, 'oppo_slow_ball': 2, 'oppo_miss_catch': 67, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 288, 'oppo_slow_ball': 2, 'oppo_miss_catch': 46, 'oppo_double_hit': 1}}"
-276.665927,62000,137.933359,"{'left': {'oppo_miss_start': 295, 'oppo_slow_ball': 2, 'oppo_miss_catch': 67, 'oppo_double_hit': 1, 'not_finish': 0}, 'right': {'oppo_miss_start': 298, 'oppo_slow_ball': 2, 'oppo_miss_catch': 47, 'oppo_double_hit': 1}}"
-284.65828,63000,140.098619,"{'left': {'oppo_miss_start': 302, 'oppo_slow_ball': 2, 'oppo_miss_catch': 67, 'oppo_double_hit': 1, 'not_finish': 0}, 'right': {'oppo_miss_start': 305, 'oppo_slow_ball': 2, 'oppo_miss_catch': 48, 'oppo_double_hit': 1}}"
-289.64927,64000,142.367218,"{'left': {'oppo_miss_start': 307, 'oppo_slow_ball': 2, 'oppo_miss_catch': 68, 'oppo_double_hit': 1, 'not_finish': 0}, 'right': {'oppo_miss_start': 311, 'oppo_slow_ball': 2, 'oppo_miss_catch': 48, 'oppo_double_hit': 1}}"
-296.643871,65000,144.586445,"{'left': {'oppo_miss_start': 313, 'oppo_slow_ball': 2, 'oppo_miss_catch': 69, 'oppo_double_hit': 1, 'not_finish': 0}, 'right': {'oppo_miss_start': 317, 'oppo_slow_ball': 2, 'oppo_miss_catch': 50, 'oppo_double_hit': 1}}"
-296.610676,66000,146.867561,"{'left': {'oppo_miss_start': 314, 'oppo_slow_ball': 2, 'oppo_miss_catch': 71, 'oppo_double_hit': 1, 'not_finish': 0}, 'right': {'oppo_miss_start': 318, 'oppo_slow_ball': 2, 'oppo_miss_catch': 51, 'oppo_double_hit': 1}}"
-306.610676,67000,149.059254,"{'left': {'oppo_miss_start': 324, 'oppo_slow_ball': 2, 'oppo_miss_catch': 71, 'oppo_double_hit': 1, 'not_finish': 0}, 'right': {'oppo_miss_start': 327, 'oppo_slow_ball': 2, 'oppo_miss_catch': 52, 'oppo_double_hit': 1}}"
-313.610676,68000,151.3024,"{'left': {'oppo_miss_start': 329, 'oppo_slow_ball': 2, 'oppo_miss_catch': 71, 'oppo_double_hit': 1, 'not_finish': 0}, 'right': {'oppo_miss_start': 333, 'oppo_slow_ball': 2, 'oppo_miss_catch': 53, 'oppo_double_hit': 1}}"
-313.588886,69000,153.559197,"{'left': {'oppo_miss_start': 329, 'oppo_slow_ball': 2, 'oppo_miss_catch': 71, 'oppo_double_hit': 1, 'not_finish': 0}, 'right': {'oppo_miss_start': 333, 'oppo_slow_ball': 2, 'oppo_miss_catch': 53, 'oppo_double_hit': 1}}"
-316.58042,70000,155.745349,"{'left': {'oppo_miss_start': 334, 'oppo_slow_ball': 2, 'oppo_miss_catch': 73, 'oppo_double_hit': 1, 'not_finish': 0}, 'right': {'oppo_miss_start': 338, 'oppo_slow_ball': 2, 'oppo_miss_catch': 53, 'oppo_double_hit': 1}}"
-318.58042,71000,157.970701,"{'left': {'oppo_miss_start': 335, 'oppo_slow_ball': 2, 'oppo_miss_catch': 73, 'oppo_double_hit': 1, 'not_finish': 0}, 'right': {'oppo_miss_start': 339, 'oppo_slow_ball': 3, 'oppo_miss_catch': 53, 'oppo_double_hit': 1}}"
-326.55174,72000,160.178916,"{'left': {'oppo_miss_start': 345, 'oppo_slow_ball': 2, 'oppo_miss_catch': 74, 'oppo_double_hit': 1, 'not_finish': 0}, 'right': {'oppo_miss_start': 348, 'oppo_slow_ball': 3, 'oppo_miss_catch': 53, 'oppo_double_hit': 1}}"
-333.535007,73000,162.464038,"{'left': {'oppo_miss_start': 352, 'oppo_slow_ball': 2, 'oppo_miss_catch': 75, 'oppo_double_hit': 1, 'not_finish': 0}, 'right': {'oppo_miss_start': 356, 'oppo_slow_ball': 3, 'oppo_miss_catch': 53, 'oppo_double_hit': 1}}"
-340.479195,74000,164.710244,"{'left': {'oppo_miss_start': 360, 'oppo_slow_ball': 2, 'oppo_miss_catch': 77, 'oppo_double_hit': 1, 'not_finish': 0}, 'right': {'oppo_miss_start': 364, 'oppo_slow_ball': 3, 'oppo_miss_catch': 54, 'oppo_double_hit': 1}}"
