#{"t_start": 1584991336.8098323, "env_id": "RoboschoolPong-v1"}
r,l,t,score_board
-158.434464,32000,70.481715,"{'left': {'oppo_miss_start': 148, 'oppo_slow_ball': 1, 'oppo_miss_catch': 29, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 154, 'oppo_slow_ball': 1, 'oppo_miss_catch': 34, 'oppo_double_hit': 0}}"
-162.401405,33000,72.676993,"{'left': {'oppo_miss_start': 152, 'oppo_slow_ball': 1, 'oppo_miss_catch': 29, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 157, 'oppo_slow_ball': 1, 'oppo_miss_catch': 35, 'oppo_double_hit': 0}}"
-166.395402,34000,74.819927,"{'left': {'oppo_miss_start': 157, 'oppo_slow_ball': 1, 'oppo_miss_catch': 30, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 161, 'oppo_slow_ball': 1, 'oppo_miss_catch': 36, 'oppo_double_hit': 0}}"
-173.382011,35000,77.01105,"{'left': {'oppo_miss_start': 163, 'oppo_slow_ball': 1, 'oppo_miss_catch': 31, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 168, 'oppo_slow_ball': 1, 'oppo_miss_catch': 37, 'oppo_double_hit': 0}}"
-182.367283,36000,79.292222,"{'left': {'oppo_miss_start': 173, 'oppo_slow_ball': 1, 'oppo_miss_catch': 31, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 177, 'oppo_slow_ball': 1, 'oppo_miss_catch': 37, 'oppo_double_hit': 0}}"
-188.345144,37000,81.6119,"{'left': {'oppo_miss_start': 177, 'oppo_slow_ball': 1, 'oppo_miss_catch': 32, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 181, 'oppo_slow_ball': 1, 'oppo_miss_catch': 40, 'oppo_double_hit': 0}}"
-196.324947,38000,83.791902,"{'left': {'oppo_miss_start': 184, 'oppo_slow_ball': 1, 'oppo_miss_catch': 32, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 186, 'oppo_slow_ball': 1, 'oppo_miss_catch': 43, 'oppo_double_hit': 0}}"
-197.310886,39000,86.026038,"{'left': {'oppo_miss_start': 185, 'oppo_slow_ball': 1, 'oppo_miss_catch': 33, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 188, 'oppo_slow_ball': 1, 'oppo_miss_catch': 43, 'oppo_double_hit': 0}}"
-198.287162,40000,88.203303,"{'left': {'oppo_miss_start': 188, 'oppo_slow_ball': 1, 'oppo_miss_catch': 35, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 190, 'oppo_slow_ball': 2, 'oppo_miss_catch': 43, 'oppo_double_hit': 0}}"
-200.240509,41000,90.377105,"{'left': {'oppo_miss_start': 190, 'oppo_slow_ball': 1, 'oppo_miss_catch': 35, 'oppo_double_hit': 1, 'not_finish': 0}, 'right': {'oppo_miss_start': 192, 'oppo_slow_ball': 2, 'oppo_miss_catch': 44, 'oppo_double_hit': 0}}"
-210.237922,42000,92.546772,"{'left': {'oppo_miss_start': 198, 'oppo_slow_ball': 1, 'oppo_miss_catch': 35, 'oppo_double_hit': 2, 'not_finish': 0}, 'right': {'oppo_miss_start': 201, 'oppo_slow_ball': 2, 'oppo_miss_catch': 46, 'oppo_double_hit': 0}}"
-216.183356,43000,94.752388,"{'left': {'oppo_miss_start': 203, 'oppo_slow_ball': 1, 'oppo_miss_catch': 36, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 206, 'oppo_slow_ball': 2, 'oppo_miss_catch': 49, 'oppo_double_hit': 0}}"
-220.179013,44000,96.946274,"{'left': {'oppo_miss_start': 207, 'oppo_slow_ball': 1, 'oppo_miss_catch': 36, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 210, 'oppo_slow_ball': 2, 'oppo_miss_catch': 49, 'oppo_double_hit': 0}}"
-220.172542,45000,99.184032,"{'left': {'oppo_miss_start': 208, 'oppo_slow_ball': 1, 'oppo_miss_catch': 38, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 212, 'oppo_slow_ball': 2, 'oppo_miss_catch': 49, 'oppo_double_hit': 0}}"
-228.168436,46000,101.335733,"{'left': {'oppo_miss_start': 216, 'oppo_slow_ball': 1, 'oppo_miss_catch': 38, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 219, 'oppo_slow_ball': 2, 'oppo_miss_catch': 50, 'oppo_double_hit': 0}}"
-233.168436,47000,103.527932,"{'left': {'oppo_miss_start': 221, 'oppo_slow_ball': 1, 'oppo_miss_catch': 39, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 224, 'oppo_slow_ball': 2, 'oppo_miss_catch': 51, 'oppo_double_hit': 0}}"
-242.13109,48000,105.708865,"{'left': {'oppo_miss_start': 231, 'oppo_slow_ball': 1, 'oppo_miss_catch': 40, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 234, 'oppo_slow_ball': 2, 'oppo_miss_catch': 51, 'oppo_double_hit': 0}}"
-246.081992,49000,107.953662,"{'left': {'oppo_miss_start': 237, 'oppo_slow_ball': 1, 'oppo_miss_catch': 42, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 240, 'oppo_slow_ball': 2, 'oppo_miss_catch': 51, 'oppo_double_hit': 0}}"
-251.058977,50000,110.136679,"{'left': {'oppo_miss_start': 244, 'oppo_slow_ball': 1, 'oppo_miss_catch': 44, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 247, 'oppo_slow_ball': 2, 'oppo_miss_catch': 51, 'oppo_double_hit': 0}}"
-257.036884,51000,112.350002,"{'left': {'oppo_miss_start': 251, 'oppo_slow_ball': 1, 'oppo_miss_catch': 46, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 255, 'oppo_slow_ball': 2, 'oppo_miss_catch': 51, 'oppo_double_hit': 0}}"
-261.995979,52000,114.551039,"{'left': {'oppo_miss_start': 259, 'oppo_slow_ball': 1, 'oppo_miss_catch': 48, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 262, 'oppo_slow_ball': 2, 'oppo_miss_catch': 51, 'oppo_double_hit': 0}}"
-270.970274,53000,116.789041,"{'left': {'oppo_miss_start': 268, 'oppo_slow_ball': 1, 'oppo_miss_catch': 49, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 272, 'oppo_slow_ball': 2, 'oppo_miss_catch': 51, 'oppo_double_hit': 0}}"
-270.970274,54000,119.054385,"{'left': {'oppo_miss_start': 268, 'oppo_slow_ball': 1, 'oppo_miss_catch': 49, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 272, 'oppo_slow_ball': 2, 'oppo_miss_catch': 51, 'oppo_double_hit': 0}}"
-277.942171,55000,121.205748,"{'left': {'oppo_miss_start': 277, 'oppo_slow_ball': 2, 'oppo_miss_catch': 50, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 281, 'oppo_slow_ball': 2, 'oppo_miss_catch': 51, 'oppo_double_hit': 0}}"
-280.938294,56000,123.444967,"{'left': {'oppo_miss_start': 280, 'oppo_slow_ball': 2, 'oppo_miss_catch': 51, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 285, 'oppo_slow_ball': 2, 'oppo_miss_catch': 51, 'oppo_double_hit': 0}}"
-282.874996,57000,125.656055,"{'left': {'oppo_miss_start': 281, 'oppo_slow_ball': 2, 'oppo_miss_catch': 53, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 287, 'oppo_slow_ball': 2, 'oppo_miss_catch': 53, 'oppo_double_hit': 0}}"
-288.866521,58000,127.905978,"{'left': {'oppo_miss_start': 285, 'oppo_slow_ball': 2, 'oppo_miss_catch': 53, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 291, 'oppo_slow_ball': 2, 'oppo_miss_catch': 55, 'oppo_double_hit': 0}}"
-295.866521,59000,130.073439,"{'left': {'oppo_miss_start': 293, 'oppo_slow_ball': 2, 'oppo_miss_catch': 54, 'oppo_double_hit': 3, 'not_finish': 0}, 'right': {'oppo_miss_start': 299, 'oppo_slow_ball': 2, 'oppo_miss_catch': 55, 'oppo_double_hit': 0}}"
