#{"t_start": 1573703793.0821815, "env_id": "RoboschoolPong-v1"}
r,l,t,score_board
-296.910684,47000,127.87383,"{'left': {'oppo_miss_start': 274, 'oppo_slow_ball': 1, 'oppo_miss_catch': 52, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 287, 'oppo_slow_ball': 1, 'oppo_miss_catch': 63, 'oppo_double_hit': 0}}"
-307.910684,48000,130.342092,"{'left': {'oppo_miss_start': 283, 'oppo_slow_ball': 1, 'oppo_miss_catch': 52, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 296, 'oppo_slow_ball': 2, 'oppo_miss_catch': 64, 'oppo_double_hit': 0}}"
-316.88483,49000,132.821922,"{'left': {'oppo_miss_start': 291, 'oppo_slow_ball': 1, 'oppo_miss_catch': 53, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 304, 'oppo_slow_ball': 2, 'oppo_miss_catch': 66, 'oppo_double_hit': 0}}"
-320.880145,50000,135.328968,"{'left': {'oppo_miss_start': 296, 'oppo_slow_ball': 1, 'oppo_miss_catch': 54, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 308, 'oppo_slow_ball': 2, 'oppo_miss_catch': 67, 'oppo_double_hit': 0}}"
-327.869259,51000,137.832141,"{'left': {'oppo_miss_start': 302, 'oppo_slow_ball': 1, 'oppo_miss_catch': 55, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 314, 'oppo_slow_ball': 2, 'oppo_miss_catch': 69, 'oppo_double_hit': 0}}"
-332.821534,52000,140.336976,"{'left': {'oppo_miss_start': 307, 'oppo_slow_ball': 1, 'oppo_miss_catch': 57, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 320, 'oppo_slow_ball': 2, 'oppo_miss_catch': 70, 'oppo_double_hit': 0}}"
-343.821534,53000,142.795043,"{'left': {'oppo_miss_start': 316, 'oppo_slow_ball': 1, 'oppo_miss_catch': 57, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 329, 'oppo_slow_ball': 2, 'oppo_miss_catch': 72, 'oppo_double_hit': 0}}"
-353.821534,54000,145.360072,"{'left': {'oppo_miss_start': 324, 'oppo_slow_ball': 1, 'oppo_miss_catch': 57, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 337, 'oppo_slow_ball': 2, 'oppo_miss_catch': 74, 'oppo_double_hit': 0}}"
-363.821534,55000,147.828281,"{'left': {'oppo_miss_start': 334, 'oppo_slow_ball': 1, 'oppo_miss_catch': 57, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 346, 'oppo_slow_ball': 2, 'oppo_miss_catch': 75, 'oppo_double_hit': 0}}"
-367.82074,56000,150.330424,"{'left': {'oppo_miss_start': 337, 'oppo_slow_ball': 1, 'oppo_miss_catch': 57, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 350, 'oppo_slow_ball': 2, 'oppo_miss_catch': 75, 'oppo_double_hit': 0}}"
-375.82074,57000,152.848804,"{'left': {'oppo_miss_start': 342, 'oppo_slow_ball': 1, 'oppo_miss_catch': 57, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 354, 'oppo_slow_ball': 3, 'oppo_miss_catch': 78, 'oppo_double_hit': 0}}"
-386.82074,58000,155.398988,"{'left': {'oppo_miss_start': 352, 'oppo_slow_ball': 1, 'oppo_miss_catch': 57, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 364, 'oppo_slow_ball': 3, 'oppo_miss_catch': 79, 'oppo_double_hit': 0}}"
-394.803326,59000,157.85937,"{'left': {'oppo_miss_start': 360, 'oppo_slow_ball': 1, 'oppo_miss_catch': 58, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 372, 'oppo_slow_ball': 3, 'oppo_miss_catch': 80, 'oppo_double_hit': 0}}"
-395.787848,60000,160.379423,"{'left': {'oppo_miss_start': 363, 'oppo_slow_ball': 1, 'oppo_miss_catch': 60, 'oppo_double_hit': 0, 'not_finish': 0}, 'right': {'oppo_miss_start': 375, 'oppo_slow_ball': 3, 'oppo_miss_catch': 80, 'oppo_double_hit': 0}}"
